shop_id,name,website,myshopify_domain,categories,commission,cookie,payout_rate,payout_period,approval_rate,offer_score,recommend_score,avg_order_value,application_review,offer_status,program_id,mkp_listing_id,apply_url,hashtags,shop_plan
284869,Global Beauty Care,https://www.globalbeautycare.com,global-beauty-care-brands.myshopify.com,Health & Beauty,15% per order,30,No data yet,monthly,34.62%,,,20.8,manual,2,338313,40548,https://af.uppromote.com/global-beauty-care-brands/register,"[""""]",Professional
268493,Global Market🌎,https://global-market-101124.myshopify.com,cjz1gq-r0.myshopify.com,Arts & Entertainment,13% per order,30,No data yet,16days,0%,,,0,manual,2,317360,39453,https://af.uppromote.com/cjz1gq-r0/register,"[""""]",Professional
11727,Global Seafoods North America,https://globalseafoods.com,globalseafoods.myshopify.com,Grocery & Food,10% per order,30,76.6%,,98.58%,3.07,3.93,388.7,manual,2,12664,543,https://af.uppromote.com/globalseafoods/register,"[""""]",growth_affiliate
282538,Global Wellness Alliance,https://gwahub.com,e8y0f1-rx.myshopify.com,Health & Beauty,15% per order,30,No data yet,7 Days for payout,100%,,,60.5,auto,2,335180,40446,https://af.uppromote.com/e8y0f1-rx/register,"[""#swissmadedrops"", ""#triplepack""]",Professional
78666,GlockSlideBackPlate.com,https://glockslidebackplate.com,glockslidebackplate-com.myshopify.com,"Sports & Entertainment, Others",20% per order,30,0%,,81.58%,1.44,1.44,55.9,manual,2,90203,19039,https://af.uppromote.com/glockslidebackplate/register,[],Free
225299,Glocusent,https://glocusent.com,glocusent.myshopify.com,"Books, Electronics, Home & Tools",15% per order,60,96.33%,Net 30 after order approval,85.71%,3.79,7.92,39.5,auto,2,261391,36381,https://af.uppromote.com/glocusent/register,"[""#booklight"", ""#readiglight"", ""#necklight""]",growth_affiliate
79838,GloriLight,https://glorilight.com,glorilight.myshopify.com,"Home & Tools, Mom & Kids, Toys & Hobbies",10% per order,30,83.76%,,56.41%,1.77,1.89,56.7,manual,2,91495,19297,https://af.uppromote.com/glorilight/register,[],Free
77835,Glow Collection,https://glowcollection.com.au,99a48c.myshopify.com,"Beauty & Health, Home & Tools, Others",22% per order,30,46.86%,Monthly in arrears on the 14h day.,99.77%,2.7800000000000002,3.59,163.33,auto,2,89242,20494,https://af.uppromote.com/GLOW/register,"[""#fragrance""]",Enterprise
242258,Glow Garden,https://tryglowgarden.com,vmwdgs-rm.myshopify.com,Health & Beauty,40% per order,30,No data yet,7 Days,96.23%,1.6,,0,auto,2,282882,37221,https://af.uppromote.com/glowgarden/register,"[""""]",Professional
279870,Glow Labs USA,https://auracosmeticsco.myshopify.com,bys-store-3237715-802215.myshopify.com,Health & Beauty,30% per order,30,No data yet,Affiliates are paid on the 1st of every month for the previous month's sales.,0%,,,0,manual,2,331742,40278,https://af.uppromote.com/bys-store-3237715-802215/register,"[""#beauty"", ""#skincare"", ""#makeup"", ""#glow""]",growth_affiliate
170330,Glow Off Co.,https://c6d145.myshopify.com,c6d145.myshopify.com,Beauty & Health,25% per order,365,95.16%,Monthly,98.16%,2.7800000000000002,4.25,37.8,auto,2,194310,32612,https://af.uppromote.com/glowoffco/register,"[""#beauty"", ""#skincare"", ""#skincareroutine"", ""#makeup"", ""#makeupremover"", ""#skincareproducts""]",growth_affiliate
197216,Glow Pups,https://glowpups.com,glowpetproducts.myshopify.com,Pet supplies,10% per order,30,0%,,89.47%,1.5699999999999998,1.82,77.8,auto,2,225273,34897,https://af.uppromote.com/glowpups/register,"[""""]",Professional
169619,Glow With Purpose,https://glowwithpurpose.com,glow-with-purpose.myshopify.com,Beauty & Health,10% per order,30,0%,,100%,0.87,1.15,38.9,auto,2,192983,32469,https://af.uppromote.com/glowwithpurpose/register,"[""#skincare"", ""#hyperpigmentation"", ""#dryskin"", ""#glowingskin"", ""#antiaging"", ""#darkspots"", ""#vegan"", ""#ecofriendly"", ""#crueltyfree""]",Free
142320,GlowForSuccess,https://glowforsuccess.com,50cefe-4.myshopify.com,Beauty & Health,50% per order,30,No data yet,,27.78%,0.75,0.98,0,manual,2,161386,29493,https://af.uppromote.com/50cefe-4/register,"[""#glowforsuccess"", ""#selfesteem"", ""#womenenterpreneur""]",Free
203112,GlowKissen,https://glowkissen.de,6cc2b9-b3.myshopify.com,Beauty & Health,10% per order,60,No data yet,,70.59%,1.12,1.48,0,manual,2,233046,35333,https://af.uppromote.com/6cc2b9-b3/register,"[""""]",Free
195667,GlowScapes,https://dpgifr-1p.myshopify.com,dpgifr-1p.myshopify.com,"Art, Electronics",10% per order,30,No data yet,,44.44%,1.05,,,manual,2,223312,34492,https://af.uppromote.com/dpgifr-1p/register,"[""""]",Free
106110,GlowState,https://yogabyhannah.com/products/7-day-yoga-challenge,yogabyhannah.myshopify.com,Beauty & Health,30% per order,30,No data yet,,35%,1.02,,,manual,2,120496,24997,https://af.uppromote.com/yogabyhannah/register,"[""#frameyoga"", "" #yogabyhannah""]",Free
264941,GlowTech,https://buyverse-4846.myshopify.com,n0r11h-xh.myshopify.com,Toys & Games,5% per order,30,0%,friday every 2 weeks,16.67%,1.81,2.14,19.76,manual,2,312839,39165,https://af.uppromote.com/n0r11h-xh/register,"[""""]",Professional
97817,Glowastica,https://glowastica.com,glowastica.myshopify.com,Beauty & Health,20% per order,30,0%,,91.38%,0.92,1.2,0,auto,2,111439,23186,https://af.uppromote.com/glowastica/register,"[""#skincare"", ""#beauty"", ""#skin"", ""#facelift"", ""#skintightening"", ""#microcurrent"", ""#ledtherapy"", ""#skincaretool"", ""#facesculpting""]",Free
96866,Glowme,https://glowme.com.br,glowme-4912.myshopify.com,Beauty & Health,10% per order,2,100%,,86.11%,1.04,,,manual,2,111399,23355,https://afiliados.glowme.com.br/glowme/register,"[""""]",Professional
267691,Glowria Cosmetics,https://glowrialash.myshopify.com,glowrialash.myshopify.com,Health & Beauty,10% per order,30,No data yet,30 days,93.75%,,,0,auto,2,316245,39675,https://af.uppromote.com/glowrialash/register,"[""#skin"", ""#care"", ""#hair"", ""#skincare"", ""#beauty"", ""#lash"", ""#product"", ""#eyelash"", ""#growlash"", ""#mascara"", ""#makeup""]",growth_affiliate
276408,Glowwww,https://glowwww-3.myshopify.com,x2mhwe-em.myshopify.com,Health & Beauty,€8.00 per item,30,No data yet,Ce n’est pas une boutique physique,0%,,,17.65,manual,2,327236,40044,https://af.uppromote.com/x2mhwe-em/register,"[""""]",Professional
288413,Gluten Free Nomad,https://glutenfreenomad.com.au,wm0dg0-nu.myshopify.com,"Food, Beverages & Tobacco",13% per order,30,No data yet,1st of each month.,No data yet,,,71.68,manual,2,342890,40725,https://af.uppromote.com/wm0dg0-nu/register,"[""""]",growth_affiliate
43012,Go Nutrients,https://www.gonutrients.com,go-nutrients.myshopify.com,Beauty & Health,15% per order,7,99.31%,15th of each month from previous months sales,95.45%,2.48,3.67,35.1,auto,2,57034,8090,https://af.uppromote.com/gonutrients/register,"[""""]",Professional
33740,Go Roam Free,https://goroamfree.com,go-roam-free.myshopify.com,Grocery & Food,15% per order,30,No data yet,,0%,0.82,0.82,66.3,manual,2,36807,5191,https://af.uppromote.com/go-roam-free/register,[],Free
156912,Go Sports Gallery,https://gosportsgallery.com,10eb83-28.myshopify.com,"Sports & Entertainment, Art",10% per order,30,No data yet,,20%,,,,manual,2,178518,31027,https://af.uppromote.com/10eb83-28/register,"[""""]",Free
77849,GoBliss ,https://shop.go-bliss.com,gobliss-shop.myshopify.com,"Fashion, Sports & Entertainment, Toys & Hobbies",10% per order,30,55.56%,,55.26%,1.1,1.28,34.7,manual,2,89257,18863,https://af.uppromote.com/gobliss/register,"[""#GoBliss"", ""#EnjoyTheProcess""]",Free
189673,GoCoffee,https://gocofe.myshopify.com,mvdki0-s5.myshopify.com,"Grocery & Food, Home & Tools",10% per order,30,No data yet,,90.91%,1.17,,,auto,2,215524,34004,https://af.uppromote.com/mvdki0-s5/register,"[""""]",Free
284608,GoEasy,https://shopgoeasy.com,bm07p1-01.myshopify.com,"Bundles, Health & Beauty",30% per order,30,No data yet,"15th of each month and once volume increases, we will increase payout frequency",66.67%,,,77.31,manual,2,337953,40529,https://af.uppromote.com/bm07p1-01/register,"[""#wellness"", ""#woman"", ""#mentalhealth"", ""#energy"", ""#beauty"", ""#selflove"", ""#selfcare""]",growth_affiliate
94370,GoNipless,https://gonipless.com,gonipless-6845.myshopify.com,"Fashion, Beauty & Health, Others",24% per order,30,0%,,100%,1.94,2.79,30.6,auto,2,107697,22513,https://af.uppromote.com/gonipless-6845/register,"[""#gonipless"", "" #NippleCovers"", ""#Nipplecover""]",Professional
162197,GoPoxy,https://gopoxy.co.uk,9d94f0.myshopify.com,Home & Tools,15% per order,14,No data yet,,1.96%,1.6400000000000001,1.8,92.42,manual,2,184537,31616,https://af.uppromote.com/GoPoxy/register,"[""#tile"", ""#grout"", ""#bathroom"", ""#interiordesign"", ""#plumbing""]",Free
58388,Goat Grip™,https://thegoatgrip.com,rjinvestmentsusa.myshopify.com,"Sports & Entertainment, Others",20% per order,30,0%,,94.92%,1.07,,,manual,2,65724,12942,https://af.uppromote.com/thegoatgrip/register,[],Free
260377,Gob's Gifts,https://gobsgifts.com,wedgcb-ix.myshopify.com,Apparel & Accessories,15% per order,30,No data yet,"We pay commissions on the 15th of every month (Net-30)! Please note: To account for size exchanges and returns, a sale must clear a 30-day window before it is paid out.",90%,0.77,0.89,0,auto,2,305614,38753,https://af.uppromote.com/gobsgifts/register,"[""#exmormon"", ""#secondsaturday"", ""#postmormon"", ""#horse"", ""#exmo"", ""#formerlds"", ""#leavingmormonism"", ""#deconstructingfaith"", ""#faithcrisis"", ""#shelfbroke"", ""#coffeefreedom"", ""#postmormlife"", ""#exmolife"", ""#freedomlookslikethis"", ""#tapir"", ""#telithetapir"", ""#mormonmemes"", ""#sacrednotsecreet"", ""#hotcuposin"", ""#gobsgifts"", ""#gobsgiftsmerch""]",growth_affiliate
245686,God's Love Co.,https://godslovecoffee.com,jxy114-0w.myshopify.com,"Food, Beverages & Tobacco",10% per order,30,77.78%,Payouts occur in regular intervals.,51.85%,1.11,1.29,0,manual,2,287052,37451,https://af.uppromote.com/jxy114-0w/register,"[""#coffee"", ""#christian"", ""#lifestyle"", ""#faith"", ""#drinks""]",Professional
264451,GodaStudio,https://godastudio.store,91hdph-4d.myshopify.com,Apparel & Accessories,$5.00 per order,30,No data yet,Payout is on the last day of every month.,100%,,,35.7,auto,2,312205,40218,https://af.uppromote.com/91hdph-4d/register,"[""#godastudio"", ""#graphictees"", ""#wearyourpersonality"", ""#boldbydesign"", ""#garmentdyed"", ""#popculturefashion"", ""#statementtees"", ""#wearwhatyoulove"", ""#funnyshirts""]",growth_affiliate
158185,Gokart Tire clocks,https://racingclockworks.com,a2c71b.myshopify.com,Toys & Hobbies,30% per order,30,No data yet,,92.31%,0.82,0.86,0,manual,2,179921,31184,https://af.uppromote.com/a2c71b/register,"[""""]",Free
64039,Gold & Cherry,https://goldandcherry.com,golden-pidget.myshopify.com,"Fashion, Jewelry & Accessories, Electronics",10% per order,1,0%,,85.12%,1.46,1.84,0,manual,2,72564,14910,https://af.uppromote.com/Goldandcherry/register,"[""""]",Free
61455,Gold Skull Ltd,https://www.gold-skull.co.uk,gold-skull-ltd.myshopify.com,Automobiles & Motorcycles,10% per order,30,No data yet,,4.17%,0.77,0.92,0,manual,2,69404,14074,https://af.uppromote.com/gold-skull-ltd/register,[],Free
191723,Golded wood,https://golded-wood.com,1vmb31-i0.myshopify.com,"Home & Tools, Toys & Hobbies, Art",25% per order,30,No data yet,,33.33%,0.94,,,manual,2,218098,34241,https://af.uppromote.com/golded-wood/register,"[""""]",Free
80508,Golden Class Movies LTD,https://www.goldenclassmovies.com,golden-class-movies.myshopify.com,"Sports & Entertainment, Electronics, Others",10% per order,30,No data yet,,5.26%,0.72,,,manual,2,92238,19472,https://af.uppromote.com/golden-class-movies/register,[],Free
72275,Golden Glory Limited,https://mouloudahome.com,mouloudacastle.myshopify.com,"Home & Tools, Garden & Outdoors, Art",14% per order,30,No data yet,,75%,0.92,,,manual,2,82548,17459,https://af.uppromote.com/mouloudacastle/register,[],Free
47888,Golden Hour,https://goldenhourco.ca,goldenhourto.myshopify.com,"Fashion, Beauty & Health, Home & Tools",15% per order,30,No data yet,,16.67%,0.75,,,manual,2,53382,9535,https://af.uppromote.com/goldenhourto/register,[],Free
59943,Golden Muse Jewels,https://goldenmusejewels.com,golden-muse-jewels.myshopify.com,"Fashion, Jewelry & Accessories, Beauty & Health",15% per order,30,No data yet,,4%,0.8,0.96,35.98,manual,2,67572,13484,https://af.uppromote.com/golden-muse-jewels/register,[],Free
280487,Golden Naturals: Organic Health Supplements for Wellness,https://goldennaturalsusa.com,dvummd-9s.myshopify.com,Health & Beauty,15% per order,30,No data yet,15th of each month,100%,,,37.4,manual,2,332526,40360,https://af.uppromote.com/dvummd-9s/register,"[""""]",growth_affiliate
182266,Golden Sanatate,https://goldensanatate.com,d1b76d-e7.myshopify.com,Beauty & Health,10% per order,30,No data yet,,8.33%,0.97,,134.3,manual,2,207802,33854,https://af.uppromote.com/d1b76d-e7/register,"[""""]",Free
108370,Goldi Body,https://goldibody.com.au,goldi-body.myshopify.com,"Beauty & Health, Mom & Kids",10% per order,30,66.67%,,66.67%,0.82,1.02,54.72,manual,2,123056,26237,https://af.uppromote.com/goldi-body/register,"[""""]",Free
256530,Goldie Links,https://goldie-links.com,goldie-links.myshopify.com,Apparel & Accessories,10% per order,30,No data yet,1st of every month,11.63%,1.92,2.27,120.6,manual,2,300632,38378,https://af.uppromote.com/goldie-links/register,"[""#morsecodejewelry"", ""#birthstonejewelry"", ""#mamabracelet"", ""#mothersdayjewelry"", ""#newmotherjewelry"", ""#birthstonebracelet"", ""#hiddenmessagejewelry"", ""#memorialjewelry"", ""#engravedjewelry"", ""#customizedjewelry""]",Professional
280146,Golfsupps,https://golfsupps.com,golfsupps.myshopify.com,"Health & Beauty, Sporting Goods",15% per order,30,66.67%,"Payouts are processed monthly. Once your approved commissions reach the minimum payout threshold of $50, you can submit a payment request. Approved requests are paid during the first week of each month.",100%,,,39.3,manual,2,332104,40297,https://af.uppromote.com/golfsupps/register,"[""#golf"", ""#golfsupplement"", ""#golflife"", ""#golfing""]",Professional
70661,Golubee,https://golubee.com,golubee.myshopify.com,"Home & Tools, Art, Mom & Kids",10% per order,30,No data yet,,50%,0.9,,,manual,2,80571,16885,https://af.uppromote.com/Golubee/register,[],Free
154304,Good & Well Supply Co.,https://goodandwellsupplyco.com,good-and-well-supply-co.myshopify.com,"Home & Tools, Garden & Outdoors",15% per order,30,73.09%,,16.81%,2.23,2.63,56,manual,2,175463,30692,https://af.uppromote.com/good-and-well-supply-co/register,"[""#begooddogood""]",Free
33430,Good And Perfect Gifts,https://goodandperfectgifts.com,good-and-perfectgifts.myshopify.com,"Fashion, Jewelry & Accessories",10% per order,30,No data yet,,2.86%,0.75,0.75,0,manual,2,36534,5122,https://af.uppromote.com/good-and-perfectgifts/register,[],Free
137918,Good Aura Co.,https://goodauraco.com,the-good-aura-company.myshopify.com,Home & Tools,10% per order,30,No data yet,,6.67%,0.7,0.77,0,manual,2,156103,29025,https://af.uppromote.com/the-good-aura-company/register,"[""""]",Free
86826,Good Bru,https://goodbru.com,good-bru.myshopify.com,"Beauty & Health, Grocery & Food, Wellness & Lifestyle",15% per order,30,95.81%,After 30 day approval time. On the 1st or 15th of each month when accumulated commissions are greater than $25.,28.57%,3.1,4.84,89.2,manual,2,99283,21704,https://af.uppromote.com/good-bru/register,"[""#probiotic"", "" #organic"", "" #digestivehealth"", "" #guthealth"", ""#immunesupport"", ""#musclerecovery"", ""#athleticperformance"", ""#mood"", ""#prebiotic"", ""#fiber"", ""#ibs"", ""#gerd"", ""#acidreflux"", ""#coffee"", ""#coffeehealth"", ""#coffeeroutine"", ""#nongmo"", ""#plantbased"", ""#ketodiet"", ""#keto"", ""#glutenfree"", ""#ibd"", ""#skinhealth"", ""#beauty"", ""#immunesystem"", ""#immunefunction"", ""#leakygut"", ""#gastritis"", ""#solublefiber"", ""#organicfiber"", ""#prebioticfiber"", ""#functionalfood"", ""#healthfood"", ""#supplement"", ""#coffeeadditive"", ""#tea"", ""#breakfast"", ""#organicfood""]",Enterprise
139154,Good Feels,https://shop.getgoodfeels.com,drink-good-feels.myshopify.com,"Grocery & Food, Retail & Consumer goods, Wellness & Lifestyle",25% per order,30,96.6%,Monthly,98.77%,3.08,3.88,62.5,auto,2,295533,38130,https://af.uppromote.com/drink-good-feels/register,"[""""]",Professional
123021,Good For You Coffee Club,https://goodforyoucoffeeclub.com,cf2620.myshopify.com,"Grocery & Food, Beauty & Health",10% per order,30,100%,,53.85%,0.82,,0,manual,2,139498,27595,https://af.uppromote.com/goodforyoucoffeeclub/register,"[""#coffee"", ""#wellness"", ""#healthy"", ""#java"", ""#coffeebeans"", ""#artisancoffee"", ""#cupofjoe""]",Free
48018,Good Grief,https://shopgoodgrief.com,good-grief-shop.myshopify.com,"Beauty & Health, Mom & Kids, Others",10% per order,30,42.7%,1st week of each month,29.79%,2.08,2.87,94.8,manual,2,53523,9678,https://af.uppromote.com/good-grief/register,"[""""]",Free
217642,Good Quality Human,https://www.goodqualityhuman.com,lidstick-diaries.myshopify.com,Fashion,10% per order,30,50%,"Commission Payouts: Approved commissions are paid once per month. Orders remain in a pending status for 30 days after purchase to allow for returns, exchanges, cancellations, or fraudulent transactions. Once approved, commissions are included in the next",97.52%,,,181.6,manual,2,251745,40292,https://af.uppromote.com/lidstick-diaries/register,"[""#goodqualityhuman"", ""#icaniwill"", ""#madeforkindness"", ""#friendsdontletfriendsberacist""]",growth_affiliate
102478,Good Thinking Foods,https://goodthinkingfoods.com,good-thinking-foods.myshopify.com,Grocery & Food,20% per order,30,76.43%,,34.78%,1.5,1.8,77.3,manual,2,116449,24204,https://af.uppromote.com/good-thinking-foods/register,"[""""]",growth_affiliate
28658,Good Vibrations Beading,https://goodvibrationsbeading.com,good-vibrations-beading.myshopify.com,"Fashion, Jewelry & Accessories, Beauty & Health",15% per order,30,0%,,50%,0.8,,,manual,2,31139,7395,https://af.uppromote.com/good-vibrations-beading/register,[],Free
212706,GoodTime High Spirits ,https://trygoodtime.com,dc32eb-2.myshopify.com,Wellness & Lifestyle,10% per order,30,50%,Monthly on the 1st of each month,97.37%,2.39,2.92,0,auto,2,245358,36891,https://af.uppromote.com/dc32eb-2/register,"[""""]",growth_affiliate
126736,Goodie's ,https://goodiesvitamins.com,666e69.myshopify.com,"Beauty & Health, Grocery & Food",10% per order,30,No data yet,,11.76%,0.75,0.99,0,manual,2,143640,27949,https://af.uppromote.com/666e69/register,"[""""]",Free
88603,Goods Direct,https://goodsdirectonline.com,option-goods-direct.myshopify.com,"Beauty & Health, Sports & Entertainment, Mom & Kids",10% per order,30,No data yet,,100%,1.02,,,auto,2,101184,21367,https://af.uppromote.com/goods-direct/register?p=101184&key=eyJpdiI6ImdjNEthZ3pOY0Y1NVk3VGlKak4wVkE9PSIsInZhbHVlIjoia010WEFRbHBZZW9lMkFvNnZvQ0dhMVF6a2FpMHVudmpSdWNGUHRpWjNKSEJEZjQzZWhjcnhteXQ1V1JDYndqZ1ZzUGZ5Qmpib2xDeHVZNi9MQXhXaU9wdWlCb1FuOWdSZndxQVNmcWdFK1hxK2tFVmFhUm01ekNNZ1BTVVlIalN1NHdjR3EycklEdEdZUjRuZFIyWUdoNkRMRFg1Wml4UmhJNVFRQ21uRW5BeWVYNkpvaStEenNGZUVzNSsveWd5NVpFMVlObGdQanhNc1UrbVBsL0JoWjZCZWdBT0UvWnNoYXNxc3BvM3JyMD0iLCJtYWMiOiI3NjZkMDMzMzUxZWM5Y2IzOWE3NjUzMmVkYWQwMzkzMGNjN2Y0YjVlZTViNTU1YmYxYTBkZWI3M2U0ODYxMjQ4IiwidGFnIjoiIn0=,"[""""]",Free
176258,Goodsonago,https://www.goodsonago.com,aqyapx-qn.myshopify.com,"Computers & Office, Pet supplies",20% per order,30,No data yet,,22.22%,,,,manual,2,200768,33286,https://af.uppromote.com/aqyapx-qn/register,"[""""]",Professional
227033,Goodwatch,https://goodwatch.com,goodwatchca.myshopify.com,"Fashion, Jewelry & Accessories",10% per order,30,No data yet,1st of each month,19.05%,0.9,1.12,135.5,manual,2,263705,36403,https://af.uppromote.com/goodwatchca/register,"[""#fashion"", ""#watches""]",growth_affiliate
111263,Goose Buckets,https://goosebuckets.com,c5eb19.myshopify.com,Fashion,50% per order,30,No data yet,,47.37%,0.8,,,manual,2,126238,28487,https://af.uppromote.com/c5eb19/register,"[""""]",Free
165352,Gorgeous Olivia,https://www.gorgeousolivia.com,bc47f9-0a.myshopify.com,"Fashion, Beauty & Health",10% per order,60,0%,Income collection time: the first and second day of each month.,62.32%,,,32.2,manual,2,188039,39784,https://af.uppromote.com/bc47f9-0a/register,"[""#lashaddict"", ""#falselashes"", ""#lashgoals"", ""#gorgeousolivia"", ""#gluelesslashes"", ""#diylash""]",Free
148135,GorgeousU Club,https://www.gorgeousuclub.com,gorgeousu-club.myshopify.com,Fashion,10% per order,30,100%,,27.59%,0.77,0.95,178.1,manual,2,168187,30032,https://af.uppromote.com/gorgeousu-club/register,"[""#fashion"", ""#silicone""]",Free
41857,Gorilla Sunnies,https://www.gorillasunnies.com,gorilla-sunnies.myshopify.com,"Fashion, Jewelry & Accessories",10% per order,30,16.67%,,63.16%,0.82,0.82,0,manual,2,46272,7678,https://af.uppromote.com/gorillasunnies/register,[],Free
149432,Gorky Gonzalez Store,https://gorkygonzalez.com,gorkygonzalezstore.myshopify.com,"Home & Tools, Art",5% per order,30,0%,"per month
contact us at info@gorkypottery.com",89.74%,1.78,2.31,193.6,manual,2,169760,30172,https://af.uppromote.com/gorkygonzalez/register,"[""#gorkygonzalez"", ""#gorkypottery"", ""#mexicanceramics"", ""#mexicanpottery"", ""#catrina"", ""#cowboy"", ""#flowers"", ""#animals"", ""#ladyguadalupe"", ""#mexicanart"", ""#handcrafts"", ""#folkart"", ""#gorkyceramics"", ""#farmdecor"", ""#ranchdecor"", ""#horses"", ""#mexicanideas"", ""#mexicanthings"", ""#mexicantiles"", ""#lamps"", ""#mexicanplates"", ""#talavera"", ""#mayolica"", ""#majolica"", ""#guanajuato"", ""#sanmiguel"", ""#museum"", ""#mencraft"", ""#tabletop"", ""#tabledecor"", ""#kitchendecor"", ""#gardendecor"", ""#homeandgarden"", ""#homedecor"", ""#pots"", ""#flowerpots"", ""#coveredvases"", ""#hoteldecor"", ""#housedecor"", ""#ideadecor"", ""#tableaccents"", ""#blueandwhite"", ""#blueceramics"", ""#gifts"", ""#wedding"", ""#loveday"", ""#halloween""]",Free
102471,Gormos,https://gorillazmonster.com,gormos-4004.myshopify.com,"Books, Toys & Hobbies, Gaming",10% per order,30,No data yet,,38.89%,1.1,,,manual,2,116443,24202,https://af.uppromote.com/Gormos/register,"[""#anime"", ""#dragonball"", ""#toy"", ""#actionfigures"", ""#naruto"", ""#collectible"", ""#manga"", ""#onepiece"", ""#figure"", ""#toys"", ""#game"", ""#decoration""]",Free
59090,Got Censorship?,https://gotcensorship.com,boston-bung.myshopify.com,Fashion,10% per order,30,100%,,29.41%,1.09,1.35,15.2,manual,2,66562,24687,https://af.uppromote.com/gotcensorship/register,"[""""]",Free
177979,"Got Inflatables: Bounce House, Nightclub, Movie Screen",https://gotinflatables.com,ge1ajj-s1.myshopify.com,"Home & Tools, Garden & Outdoors, Others",15% per order,30,0%,,94.5%,1.77,2.05,0,auto,2,202824,33444,https://af.uppromote.com/gotinflatables/register,"[""""]",Free
121577,Goth Starz,https://gothstarz.com,4fe805-2.myshopify.com,Fashion,10% per order,30,No data yet,,20%,0.77,,,manual,2,137849,27460,https://af.uppromote.com/gothstarz/register,"[""""]",Free
131881,Goti Health,https://gotihealth.com,27dae5-6.myshopify.com,"Sports & Entertainment, Beauty & Health",5% per order,60,No data yet,,100%,0.87,1.15,0,manual,2,149242,32728,https://af.uppromote.com/27dae5-6/register,"[""""]",Free
247163,Gotti Nails,https://www.gottinails.com,gotti-nails.myshopify.com,Health & Beauty,20% per order,14,100%,30 days,99.48%,,,58.7,auto,2,288888,40015,https://af.uppromote.com/gotti-nails/register,"[""""]",Professional
279787,Gourav'sbrand,https://gouravs-3.myshopify.com,u101p2-7a.myshopify.com,Home & Garden,10% per order,30,No data yet,30 days,33.33%,,,0,manual,2,331647,40273,https://af.uppromote.com/u101p2-7a/register,"[""""]",Professional
199071,GrabFlash,https://grabflash.com,ap3fbi-94.myshopify.com,Home & Tools,20% per order,60,No data yet,,25%,0.7,,,manual,2,227732,34912,https://af.uppromote.com/grabflash/register,"[""""]",Free
60261,Gracie Designs,https://graciedesigns.com,gracie-designs.myshopify.com,"Fashion, Beauty & Health, Mom & Kids",15% per order,30,0.92%,,31.82%,1.1400000000000001,1.44,138,manual,2,67935,13602,https://af.uppromote.com/gracie-designs/register,[],Free
182941,Gradefruit,https://gradefruit.com,366706-e6.myshopify.com,Software & Digital products,20% per order,30,No data yet,,90.91%,1.12,1.25,9.5,auto,2,208649,34036,https://af.uppromote.com/366706-e6/register,"[""""]",Free
150729,Graina,https://graina.com.au,graina.myshopify.com,Grocery & Food,0% per order,30,No data yet,,12.12%,1.62,1.77,91.11,manual,2,171235,30307,https://af.uppromote.com/graina/register,"[""""]",Free
95683,Grand Tongo,https://grandtongo.com,grand-tongo.myshopify.com,"Beauty & Health, Garden & Outdoors",15% per order,30,6.25%,,88.52%,2.06,2.93,48.7,manual,2,109145,22774,https://af.uppromote.com/grand-tongo/register,"[""#SprayFearlessly!""]",Free
203595,Grand-Pierre Eclat,https://gpeclat.com,eb6124-73.myshopify.com,Beauty & Health,20% per order,30,No data yet,,67.74%,0.9,1.19,0,manual,2,233670,35279,https://af.uppromote.com/eb6124-73/register,"[""""]",Free
98108,Granddaddy's Secret Sauces,https://granddaddyshotsauce.com/collections/granddaddys-secret-sauce-options,gss1-4307.myshopify.com,"Grocery & Food, Others",15% per order,365,No data yet,,100%,0.85,0.95,0,manual,2,111741,25066,https://af.uppromote.com/gsssauces/register,"[""#hotsauce"", ""#marinade"", ""#sauce"", ""#spicysauce"", ""#sauces"", ""#hotsauces"", ""#cooking"", ""#cookingsauce"", ""#bakingsauce"", ""#wingsauce"", ""#bbqsauce"", ""#condiment"", ""#dip"", ""#BBQ""]",Free
200513,Granite Design,https://granite-design.com,granitedesign.myshopify.com,Sports & Entertainment,10% per order,30,92%,,92.75%,2.75,3.58,52.8,manual,2,229640,34985,https://af.uppromote.com/granitedesign/register,"[""#sport"", ""#mtb"", ""#biketool"", ""#bike"", ""#roadbike"", ""#mountainbike"", ""#cycling"", ""#bicycle""]",Free
141349,Granite Gadgets,https://granitegadgets.com,938576-50.myshopify.com,Home & Tools,12% per order,30,No data yet,,29.17%,1.1,,,manual,2,160188,29387,https://af.uppromote.com/938576-50/register,"[""#Granitegadgets"", ""#Granitecountertops"", ""#DIY"", ""#Granitefabrication"", ""#Granitetools"", ""#Diamondtools"", ""#Kitchen"", ""#Bathroom"", ""#Home"", ""#Remodeling""]",Free
165378,Granny B's Old Fashioned Paint,https://www.grannyb.co.za,granny-b.myshopify.com,Home & Tools,10% per order,30,0%,,97.37%,1.8199999999999998,1.91,787.27,manual,2,188068,31961,https://af.uppromote.com/granny-b/register,"[""#chalkpaint"", ""#paint"", ""#diy"", ""#decoupage"", ""#stencil"", ""#craft"", ""#decor"", ""#furniturepaint""]",Free
78537,Grannyish,https://www.grannyish.co.uk,grannyishuk-172b.myshopify.com,"Beauty & Health, Grocery & Food, Mom & Kids",10% per order,30,67.39%,,100%,1.44,2.19,30.04,manual,2,90065,19025,https://af.uppromote.com/grannyishuk-172b/register,"[""""]",Free
